Date,cold,flu
2004/1/4,32,1
2004/1/11,26,1
2004/1/18,17,1
2004/1/25,26,2
2004/2/1,33,3
2004/2/8,25,2
2004/2/15,29,2
2004/2/22,27,1
2004/2/29,34,1
2004/3/7,22,1
2004/3/14,24,1
2004/3/21,33,1
2004/3/28,28,1
2004/4/4,30,1
2004/4/11,23,1
2004/4/18,20,0
2004/4/25,23,0
2004/5/2,19,0
2004/5/9,27,0
2004/5/16,27,1
2004/5/23,22,1
2004/5/30,28,0
2004/6/6,26,1
2004/6/13,31,0
2004/6/20,26,0
2004/6/27,24,0
2004/7/4,26,0
2004/7/11,26,0
2004/7/18,33,0
2004/7/25,29,1
2004/8/1,28,0
2004/8/8,30,0
2004/8/15,35,1
2004/8/22,28,0
2004/8/29,36,1
2004/9/5,38,1
2004/9/12,32,1
2004/9/19,27,2
2004/9/26,30,1
2004/10/3,33,1
2004/10/10,37,1
2004/10/17,36,2
2004/10/24,39,2
2004/10/31,34,1
2004/11/7,38,1
2004/11/14,41,2
2004/11/21,47,3
2004/11/28,34,2
2004/12/5,42,2
2004/12/12,43,1
2004/12/19,47,1
2004/12/26,41,1
2005/1/2,37,1
2005/1/9,38,1
2005/1/16,37,1
2005/1/23,36,1
2005/1/30,36,1
2005/2/6,17,0
2005/2/13,31,1
2005/2/20,34,1
2005/2/27,33,1
2005/3/6,36,1
2005/3/13,33,1
2005/3/20,38,1
2005/3/27,44,1
2005/4/3,33,1
2005/4/10,32,0
2005/4/17,26,1
2005/4/24,29,1
2005/5/1,21,0
2005/5/8,29,1
2005/5/15,27,0
2005/5/22,29,0
2005/5/29,30,0
2005/6/5,28,1
2005/6/12,30,0
2005/6/19,31,0
2005/6/26,30,0
2005/7/3,27,0
2005/7/10,26,0
2005/7/17,29,0
2005/7/24,28,0
2005/7/31,33,0
2005/8/7,29,0
2005/8/14,30,1
2005/8/21,33,0
2005/8/28,31,1
2005/9/4,35,0
2005/9/11,28,1
2005/9/18,32,1
2005/9/25,31,2
2005/10/2,30,2
2005/10/9,38,3
2005/10/16,35,6
2005/10/23,45,5
2005/10/30,41,4
2005/11/6,38,4
2005/11/13,34,3
2005/11/20,36,2
2005/11/27,39,2
2005/12/4,41,1
2005/12/11,40,1
2005/12/18,49,1
2005/12/25,53,1
2006/1/1,34,1
2006/1/8,37,1
2006/1/15,29,1
2006/1/22,21,0
2006/1/29,22,0
2006/2/5,35,1
2006/2/12,29,1
2006/2/19,29,1
2006/2/26,33,1
2006/3/5,29,1
2006/3/12,32,1
2006/3/19,35,1
2006/3/26,32,1
2006/4/2,30,1
2006/4/9,34,1
2006/4/16,28,1
2006/4/23,26,0
2006/4/30,21,0
2006/5/7,23,0
2006/5/14,26,0
2006/5/21,28,0
2006/5/28,25,0
2006/6/4,24,0
2006/6/11,29,0
2006/6/18,27,0
2006/6/25,26,0
2006/7/2,28,0
2006/7/9,28,0
2006/7/16,34,0
2006/7/23,42,0
2006/7/30,41,0
2006/8/6,35,0
2006/8/13,33,0
2006/8/20,36,0
2006/8/27,26,0
2006/9/3,28,0
2006/9/10,36,0
2006/9/17,33,1
2006/9/24,30,1
2006/10/1,22,0
2006/10/8,36,1
2006/10/15,29,1
2006/10/22,30,1
2006/10/29,32,1
2006/11/5,34,1
2006/11/12,36,1
2006/11/19,34,1
2006/11/26,30,1
2006/12/3,36,1
2006/12/10,38,1
2006/12/17,42,1
2006/12/24,55,1
2006/12/31,48,1
2007/1/7,45,2
2007/1/14,42,2
2007/1/21,38,1
2007/1/28,38,1
2007/2/4,38,1
2007/2/11,25,0
2007/2/18,19,0
2007/2/25,33,0
2007/3/4,30,0
2007/3/11,33,1
2007/3/18,36,0
2007/3/25,34,0
2007/4/1,42,0
2007/4/8,37,0
2007/4/15,32,0
2007/4/22,31,0
2007/4/29,28,0
2007/5/6,30,0
2007/5/13,29,0
2007/5/20,26,0
2007/5/27,25,0
2007/6/3,27,0
2007/6/10,31,0
2007/6/17,39,0
2007/6/24,32,0
2007/7/1,36,0
2007/7/8,35,0
2007/7/15,34,0
2007/7/22,41,0
2007/7/29,36,0
2007/8/5,38,0
2007/8/12,33,0
2007/8/19,33,0
2007/8/26,33,0
2007/9/2,32,0
2007/9/9,35,0
2007/9/16,38,0
2007/9/23,34,1
2007/9/30,29,1
2007/10/7,39,1
2007/10/14,43,1
2007/10/21,43,1
2007/10/28,42,1
2007/11/4,47,1
2007/11/11,47,1
2007/11/18,53,1
2007/11/25,52,1
2007/12/2,48,1
2007/12/9,48,1
2007/12/16,48,1
2007/12/23,58,1
2007/12/30,52,1
2008/1/6,50,1
2008/1/13,47,0
2008/1/20,45,0
2008/1/27,44,0
2008/2/3,31,0
2008/2/10,44,0
2008/2/17,55,0
2008/2/24,47,0
2008/3/2,48,1
2008/3/9,46,4
2008/3/16,50,4
2008/3/23,44,1
2008/3/30,37,1
2008/4/6,34,1
2008/4/13,36,0
2008/4/20,35,0
2008/4/27,30,0
2008/5/4,37,0
2008/5/11,37,0
2008/5/18,29,0
2008/5/25,29,0
2008/6/1,30,0
2008/6/8,26,0
2008/6/15,30,0
2008/6/22,31,0
2008/6/29,33,0
2008/7/6,35,0
2008/7/13,44,0
2008/7/20,44,0
2008/7/27,40,0
2008/8/3,39,0
2008/8/10,37,0
2008/8/17,36,0
2008/8/24,38,0
2008/8/31,40,0
2008/9/7,40,0
2008/9/14,44,0
2008/9/21,47,1
2008/9/28,40,0
2008/10/5,49,1
2008/10/12,52,1
2008/10/19,49,1
2008/10/26,47,1
2008/11/2,48,1
2008/11/9,56,1
2008/11/16,58,1
2008/11/23,63,1
2008/11/30,69,1
2008/12/7,64,1
2008/12/14,58,1
2008/12/21,60,1
2008/12/28,53,1
2009/1/4,57,1
2009/1/11,50,1
2009/1/18,47,1
2009/1/25,33,0
2009/2/1,52,1
2009/2/8,45,1
2009/2/15,44,1
2009/2/22,44,1
2009/3/1,48,1
2009/3/8,54,0
2009/3/15,58,1
2009/3/22,58,0
2009/3/29,54,1
2009/4/5,56,0
2009/4/12,49,0
2009/4/19,39,1
2009/4/26,41,100
2009/5/3,43,56
2009/5/10,40,66
2009/5/17,37,35
2009/5/24,33,19
2009/5/31,37,17
2009/6/7,33,16
2009/6/14,33,17
2009/6/21,32,16
2009/6/28,34,17
2009/7/5,38,13
2009/7/12,44,10
2009/7/19,43,6
2009/7/26,50,6
2009/8/2,49,6
2009/8/9,53,6
2009/8/16,55,6
2009/8/23,54,10
2009/8/30,51,17
2009/9/6,50,33
2009/9/13,52,33
2009/9/20,45,18
2009/9/27,38,11
2009/10/4,46,7
2009/10/11,51,7
2009/10/18,58,9
2009/10/25,69,25
2009/11/1,80,23
2009/11/8,96,15
2009/11/15,86,24
2009/11/22,100,13
2009/11/29,100,13
2009/12/6,80,8
2009/12/13,62,13
2009/12/20,67,9
2009/12/27,65,4
2010/1/3,62,3
2010/1/10,61,3
2010/1/17,57,2
2010/1/24,54,2
2010/1/31,49,1
2010/2/7,38,1
2010/2/14,34,1
2010/2/21,51,1
2010/2/28,49,1
2010/3/7,48,1
2010/3/14,52,1
2010/3/21,50,1
2010/3/28,48,1
2010/4/4,43,1
2010/4/11,43,1
2010/4/18,40,1
2010/4/25,37,1
2010/5/2,32,1
2010/5/9,35,1
2010/5/16,30,1
2010/5/23,30,1
2010/5/30,29,1
2010/6/6,30,1
2010/6/13,26,0
2010/6/20,29,1
2010/6/27,28,0
2010/7/4,34,1
2010/7/11,34,1
2010/7/18,35,0
2010/7/25,37,1
2010/8/1,37,1
2010/8/8,36,1
2010/8/15,37,1
2010/8/22,35,0
2010/8/29,36,1
2010/9/5,41,1
2010/9/12,43,1
2010/9/19,42,1
2010/9/26,41,1
2010/10/3,41,1
2010/10/10,40,1
2010/10/17,39,1
2010/10/24,39,1
2010/10/31,43,1
2010/11/7,43,1
2010/11/14,43,1
2010/11/21,40,1
2010/11/28,38,1
2010/12/5,39,1
2010/12/12,37,0
2010/12/19,41,1
2010/12/26,46,1
2011/1/2,50,1
2011/1/9,54,1
2011/1/16,56,1
2011/1/23,48,2
2011/1/30,33,1
2011/2/6,38,3
2011/2/13,33,2
2011/2/20,32,2
2011/2/27,31,1
2011/3/6,32,1
2011/3/13,31,1
2011/3/20,32,1
2011/3/27,33,0
2011/4/3,29,0
2011/4/10,30,0
2011/4/17,29,0
2011/4/24,26,0
2011/5/1,22,0
2011/5/8,22,0
2011/5/15,23,0
2011/5/22,22,0
2011/5/29,24,0
2011/6/5,20,0
2011/6/12,20,0
2011/6/19,20,0
2011/6/26,21,0
2011/7/3,21,0
2011/7/10,22,0
2011/7/17,22,0
2011/7/24,23,0
2011/7/31,23,0
2011/8/7,22,0
2011/8/14,25,0
2011/8/21,27,0
2011/8/28,27,0
2011/9/4,27,0
2011/9/11,25,0
2011/9/18,32,0
2011/9/25,32,0
2011/10/2,29,1
2011/10/9,30,1
2011/10/16,32,1
2011/10/23,31,1
2011/10/30,33,1
2011/11/6,31,1
2011/11/13,34,1
2011/11/20,34,1
2011/11/27,34,1
2011/12/4,35,0
2011/12/11,36,1
2011/12/18,41,1
2011/12/25,45,2
2012/1/1,40,2
2012/1/8,37,2
2012/1/15,33,1
2012/1/22,27,1
2012/1/29,40,2
2012/2/5,37,1
2012/2/12,39,1
2012/2/19,43,1
2012/2/26,44,1
2012/3/4,45,1
2012/3/11,47,1
2012/3/18,45,1
2012/3/25,44,1
2012/4/1,38,1
2012/4/8,35,0
2012/4/15,32,0
2012/4/22,31,1
2012/4/29,28,0
2012/5/6,30,0
2012/5/13,33,0
2012/5/20,34,0
2012/5/27,33,0
2012/6/3,32,0
2012/6/10,32,0
2012/6/17,29,1
2012/6/24,31,1
2012/7/1,31,0
2012/7/8,33,0
2012/7/15,35,0
2012/7/22,50,0
2012/7/29,33,0
2012/8/5,33,0
2012/8/12,34,0
2012/8/19,25,0
2012/8/26,18,0
2012/9/2,17,0
2012/9/9,18,0
2012/9/16,21,0
2012/9/23,20,0
2012/9/30,19,1
2012/10/7,21,1
2012/10/14,21,1
2012/10/21,19,0
2012/10/28,19,1
2012/11/4,19,1
2012/11/11,19,1
2012/11/18,20,0
2012/11/25,21,0
2012/12/2,22,0
2012/12/9,24,0
2012/12/16,24,1
2012/12/23,27,0
2012/12/30,27,0
2013/1/6,27,1
2013/1/13,26,2
2013/1/20,25,1
2013/1/27,23,1
2013/2/3,20,0
2013/2/10,18,0
2013/2/17,21,0
2013/2/24,20,0
2013/3/3,22,0
2013/3/10,21,0
2013/3/17,21,0
2013/3/24,22,0
2013/3/31,22,1
2013/4/7,24,2
2013/4/14,23,1
2013/4/21,20,1
2013/4/28,20,1
2013/5/5,20,1
2013/5/12,17,0
2013/5/19,16,0
2013/5/26,15,0
2013/6/2,16,0
2013/6/9,15,0
2013/6/16,15,0
2013/6/23,15,0
2013/6/30,15,0
2013/7/7,17,0
2013/7/14,16,0
2013/7/21,17,0
2013/7/28,18,0
2013/8/4,19,0
2013/8/11,19,0
2013/8/18,18,0
2013/8/25,17,0
2013/9/1,19,0
2013/9/8,20,0
2013/9/15,20,0
2013/9/22,23,0
2013/9/29,22,1
2013/10/6,23,1
2013/10/13,23,1
2013/10/20,24,1
2013/10/27,24,1
2013/11/3,24,1
2013/11/10,23,0
2013/11/17,25,0
2013/11/24,26,0
2013/12/1,28,0
2013/12/8,27,0
2013/12/15,27,0
2013/12/22,34,1
2013/12/29,37,1
2014/1/5,35,1
2014/1/12,30,1
2014/1/19,29,2
2014/1/26,24,1
2014/2/2,26,1
2014/2/9,24,1
2014/2/16,24,1
2014/2/23,24,1
2014/3/2,26,1
2014/3/9,25,1
2014/3/16,24,1
2014/3/23,23,1
2014/3/30,22,1
2014/4/6,22,1
2014/4/13,21,0
2014/4/20,22,0
2014/4/27,20,0
2014/5/4,20,0
2014/5/11,20,0
2014/5/18,19,0
2014/5/25,18,0
2014/6/1,13,0
2014/6/8,14,0
2014/6/15,12,0
2014/6/22,11,0
2014/6/29,10,0
2014/7/6,11,0
2014/7/13,12,0
2014/7/20,11,0
2014/7/27,10,0
2014/8/3,12,0
2014/8/10,11,0
2014/8/17,12,0
2014/8/24,11,0
2014/8/31,10,0
2014/9/7,12,0
2014/9/14,14,0
2014/9/21,13,0
2014/9/28,14,1
2014/10/5,16,1
2014/10/12,17,1
2014/10/19,15,1
2014/10/26,16,0
2014/11/2,15,0
2014/11/9,15,0
2014/11/16,17,0
2014/11/23,15,0
2014/11/30,18,1
2014/12/7,19,1
2014/12/14,21,0
2014/12/21,23,0
2014/12/28,22,1
2015/1/4,23,1
2015/1/11,22,1
2015/1/18,22,1
2015/1/25,21,2
2015/2/1,19,3
2015/2/8,20,2
2015/2/15,17,1
2015/2/22,18,1
2015/3/1,18,1
2015/3/8,18,1
2015/3/15,17,1
