類別：所有類別

週,感冒: (中國)
2012-04-08,40
2012-04-15,42
2012-04-22,39
2012-04-29,36
2012-05-06,38
2012-05-13,40
2012-05-20,44
2012-05-27,42
2012-06-03,38
2012-06-10,37
2012-06-17,35
2012-06-24,33
2012-07-01,31
2012-07-08,34
2012-07-15,37
2012-07-22,60
2012-07-29,35
2012-08-05,33
2012-08-12,35
2012-08-19,32
2012-08-26,31
2012-09-02,35
2012-09-09,36
2012-09-16,45
2012-09-23,41
2012-09-30,48
2012-10-07,48
2012-10-14,48
2012-10-21,46
2012-10-28,48
2012-11-04,45
2012-11-11,46
2012-11-18,50
2012-11-25,52
2012-12-02,60
2012-12-09,58
2012-12-16,58
2012-12-23,65
2012-12-30,73
2013-01-06,77
2013-01-13,81
2013-01-20,69
2013-01-27,64
2013-02-03,63
2013-02-10,65
2013-02-17,51
2013-02-24,52
2013-03-03,54
2013-03-10,57
2013-03-17,54
2013-03-24,57
2013-03-31,63
2013-04-07,70
2013-04-14,62
2013-04-21,52
2013-04-28,50
2013-05-05,48
2013-05-12,37
2013-05-19,33
2013-05-26,33
2013-06-02,35
2013-06-09,40
2013-06-16,34
2013-06-23,38
2013-06-30,38
2013-07-07,45
2013-07-14,42
2013-07-21,48
2013-07-28,55
2013-08-04,56
2013-08-11,55
2013-08-18,51
2013-08-25,48
2013-09-01,56
2013-09-08,56
2013-09-15,58
2013-09-22,58
2013-09-29,64
2013-10-06,62
2013-10-13,61
2013-10-20,62
2013-10-27,66
2013-11-03,66
2013-11-10,60
2013-11-17,68
2013-11-24,70
2013-12-01,79
2013-12-08,75
2013-12-15,78
2013-12-22,87
2013-12-29,100
2014-01-05,100
2014-01-12,88
2014-01-19,84
2014-01-26,80
2014-02-02,66
2014-02-09,56
2014-02-16,53
2014-02-23,50
2014-03-02,59
2014-03-09,68
2014-03-16,63
2014-03-23,56
2014-03-30,54
2014-04-06,54
2014-04-13,44
2014-04-20,50
2014-04-27,48
2014-05-04,51
2014-05-11,47
2014-05-18,43
2014-05-25,51
2014-06-01,45
2014-06-08,56
2014-06-15,41
2014-06-22,29
2014-06-29,24
2014-07-06,28
2014-07-13,24
2014-07-20,27
2014-07-27,16
2014-08-03,21
2014-08-10,18
2014-08-17,19
2014-08-24,15
2014-08-31,16
2014-09-07,17
2014-09-14,22
2014-09-21,25
2014-09-28,19
2014-10-05,15
2014-10-12,25
2014-10-19,14
2014-10-26,18
2014-11-02,22
2014-11-09,20
2014-11-16,18
2014-11-23,27
2014-11-30,19
2014-12-07,28
2014-12-14,30
2014-12-21,24
2014-12-28,41
2015-01-04,17
2015-01-11,27
2015-01-18,31
2015-01-25,25
2015-02-01,25
2015-02-08,12
2015-02-15,26
2015-02-22,24
2015-03-01,13
2015-03-08,13
2015-03-15,13
2015-03-22,11
2015-03-29,11
2015-04-05,18
2015-04-12,9
2015-04-19,22
2015-04-26,17
2015-05-03,20
2015-05-10,11
2015-05-17,10
2015-05-24,21
2015-05-31,11
2015-06-07,28
2015-06-14,23
2015-06-21,16
2015-06-28,16
2015-07-05,23
2015-07-12,17
2015-07-19,20
2015-07-26,12
2015-08-02,12
2015-08-09,11
2015-08-16,16
2015-08-23,24
2015-08-30,11
2015-09-06,24
2015-09-13,22
2015-09-20,16
2015-09-27,21
2015-10-04,35
2015-10-11,10
2015-10-18,17
2015-10-25,14
2015-11-01,20
2015-11-08,34
2015-11-15,36
2015-11-22,15
2015-11-29,23
2015-12-06,23
2015-12-13,17
2015-12-20,29
2015-12-27,12
2016-01-03,22
2016-01-10,18
2016-01-17,31
2016-01-24,29
2016-01-31,29
2016-02-07,32
2016-02-14,27
2016-02-21,27
2016-02-28,22
2016-03-06,34
2016-03-13,43
2016-03-20,32
2016-03-27,26
2016-04-03,21
2016-04-10,25
2016-04-17,23
2016-04-24,12
2016-05-01,50
2016-05-08,30
2016-05-15,31
2016-05-22,21
2016-05-29,18
2016-06-05,26
2016-06-12,20
2016-06-19,18
2016-06-26,26
2016-07-03,26
2016-07-10,21
2016-07-17,25
2016-07-24,30
2016-07-31,10
2016-08-07,30
2016-08-14,22
2016-08-21,9
2016-08-28,18
2016-09-04,14
2016-09-11,16
2016-09-18,17
2016-09-25,14
2016-10-02,20
2016-10-09,23
2016-10-16,17
2016-10-23,23
2016-10-30,32
2016-11-06,17
2016-11-13,17
2016-11-20,18
2016-11-27,34
2016-12-04,20
2016-12-11,23
2016-12-18,12
2016-12-25,25
2017-01-01,24
2017-01-08,27
2017-01-15,35
2017-01-22,41
2017-01-29,21
2017-02-05,19
2017-02-12,28
2017-02-19,13
2017-02-26,31
2017-03-05,13
2017-03-12,32
2017-03-19,13
2017-03-26,18
2017-04-02,46
